1. 2099 Van Ness Avenue, Klamath County, Oregon 97601 (-121.77436077785265 LONG, 42.24296157686674 LAT)
83. 2465 Garden Avenue, Klamath County, Oregon 97601 (-121.75881715621865 LONG, 42.2229539998176 LAT)
84. 826 Bailey Mountain Road, Klamath County, Oregon 97601 (-121.83560115530062 LONG, 42.23365093422637 LAT)
85. 764 Klamath Avenue, Klamath County, Oregon 97601 (-121.78042927194781 LONG, 42.22527991127926 LAT)
86. 2537 Eberlein Avenue, Klamath County, Oregon 97601 (-121.7581291102958 LONG, 42.21776513700049 LAT)
87. 1910 Vine Avenue, Klamath County, Oregon 97601 (-121.76747674675329 LONG, 42.221983291153244 LAT)
88. 1718 Crescent Avenue, Klamath County, Oregon 97601 (-121.78001790340184 LONG, 42.236451992300765 LAT)
89. 744 Walnut Avenue, Klamath County, Oregon 97601 (-121.77975641167393 LONG, 42.22472695464386 LAT)
90. 2401 Eberlein Avenue, Klamath County, Oregon 97601 (-121.75986588156903 LONG, 42.21775851474059 LAT)
91. 2508 Hawkins Street, Klamath County, Oregon 97601 (-121.81078387650818 LONG, 42.24371199409834 LAT)
92. 1513 Oak Avenue, Klamath County, Oregon 97601 (-121.77385849891857 LONG, 42.22552496854293 LAT)
93. 798 Walnut Avenue, Klamath County, Oregon 97601 (-121.77944059701306 LONG, 42.22501117281653 LAT)
94. 2491 Eberlein Avenue, Klamath County, Oregon 97601 (-121.75871786171304 LONG, 42.217690969583664 LAT)
95. 966 West Oregon Avenue, Klamath County, Oregon 97601 (-121.81040246364597 LONG, 42.243454299279705 LAT)
96. 711 South Spring Street, Klamath County, Oregon 97601 (-121.7717691738096 LONG, 42.22220213368531 LAT)
97. 895 Beattys Butte Drive, Klamath County, Oregon 97601 (-121.83805558437889 LONG, 42.23095770407323 LAT)
98. 711 Main Street, Klamath County, Oregon 97601 (-121.78155803454757 LONG, 42.22556427015048 LAT)
99. 1267 Mitchell Street, Klamath County, Oregon 97601 (-121.75992857590698 LONG, 42.21801003025356 LAT)
100. 1781 Austin Street, Klamath County, Oregon 97603 (-121.7504578434057 LONG, 42.21241412675828 LAT)
101. 771 Klamath Avenue, Klamath County, Oregon 97601 (-121.78057332807303 LONG, 42.22542946073648 LAT)
102. 1261 Mitchell Street, Klamath County, Oregon 97601 (-121.75992931501939 LONG, 42.21803921150661 LAT)
103. 498 South Eldorado Avenue, Klamath County, Oregon 97601 (-121.77059112829195 LONG, 42.224535687442526 LAT)
104. 744 West Oregon Avenue, Klamath County, Oregon 97601 (-121.80802274107819 LONG, 42.24328660428178 LAT)
105. 711 Klamath Avenue, Klamath County, Oregon 97601 (-121.78089762664358 LONG, 42.22512323553129 LAT)
106. 1200 Mitchell Street, Klamath County, Oregon 97601 (-121.760039240417 LONG, 42.218431363857896 LAT)
107. 1787 Austin Street, Klamath County, Oregon 97603 (-121.75045830805975 LONG, 42.21231602862067 LAT)
108. 1801 Painter Street, Klamath County, Oregon 97601 (-121.77893545571997 LONG, 42.23952283969517 LAT)
109. 2392 Wantland Avenue, Klamath County, Oregon 97601 (-121.76025217195262 LONG, 42.21848303736228 LAT)
110. 406 North 10th Street, Klamath County, Oregon 97601 (-121.7825717786405 LONG, 42.229253509231725 LAT)
111. 2001 Fremont Street, Klamath County, Oregon 97601 (-121.77274671254266 LONG, 42.23853384113887 LAT)
112. 970 Abbot Mountain Way, Klamath County, Oregon 97601 (-121.83963060679702 LONG, 42.22797650920301 LAT)
113. 625 Main Street, Klamath County, Oregon 97601 (-121.78209624463038 LONG, 42.225086341205035 LAT)
114. 2301 Wantland Avenue, Klamath County, Oregon 97601 (-121.76164192985624 LONG, 42.21853788961028 LAT)
115. 616 North 10th Street, Klamath County, Oregon 97601 (-121.78418365358823 LONG, 42.23018767386622 LAT)
116. 1801 Leroy Street, Klamath County, Oregon 97601 (-121.77862442820819 LONG, 42.237942925223656 LAT)
117. 275 Pacific Terrace, Klamath County, Oregon 97601 (-121.76930185929656 LONG, 42.23064695277324 LAT)
118. 121 South 6th Street, Klamath County, Oregon 97601 (-121.78216135896822 LONG, 42.22459471792343 LAT)
119. 1328 Division Street, Klamath County, Oregon 97601 (-121.76172189392176 LONG, 42.21735536946166 LAT)
120. 1287 Wild Plum Drive, Klamath County, Oregon 97601 (-121.817355338997 LONG, 42.231925459001474 LAT)
121. 1853 Earle Street, Klamath County, Oregon 97601 (-121.7743089107379 LONG, 42.2336151340592 LAT)
122. 129 South 6th Street, Klamath County, Oregon 97601 (-121.78177400380987 LONG, 42.224308421228685 LAT)
123. 2240 Eberlein Avenue, Klamath County, Oregon 97601 (-121.76265219190044 LONG, 42.217211010639595 LAT)
124. 1349 Lynnewood Boulevard, Klamath County, Oregon 97601 (-121.81972085134062 LONG, 42.232156551880884 LAT)
125. 266 Sunrise Court, Klamath County, Oregon 97601 (-121.77878003553381 LONG, 42.24732558383283 LAT)
126. 1899 Melrose Street, Klamath County, Oregon 97601 (-121.7750477256365 LONG, 42.234463904775296 LAT)
127. 163 North 6th Street, Klamath County, Oregon 97601 (-121.78302160244782 LONG, 42.225105775827096 LAT)
128. 2433 Reclamation Avenue, Klamath County, Oregon 97601 (-121.75948924390266 LONG, 42.21951116803195 LAT)
129. 829 Lakeshore Drive, Klamath County, Oregon 97601 (-121.81834306757541 LONG, 42.23312970649061 LAT)
130. 2233 North Eldorado Avenue, Klamath County, Oregon 97601 (-121.7876453995259 LONG, 42.24825797125119 LAT)
131. 601 Mount Pitt Street, Klamath County, Oregon 97601 (-121.80550648565128 LONG, 42.24383658496278 LAT)
132. 1935 Melrose Street, Klamath County, Oregon 97601 (-121.7734215689382 LONG, 42.23493931906713 LAT)
133. 540 Main Street, Klamath County, Oregon 97601 (-121.7825925000168 LONG, 42.22467197215405 LAT)
134. 600 Washburn Way, Klamath County, Oregon 97603 (-121.75739607379771 LONG, 42.22410574504539 LAT)
135. 1979 Van Ness Avenue, Klamath County, Oregon 97601 (-121.77639889782495 LONG, 42.24295619224195 LAT)
136. 1929 Huron Street, Klamath County, Oregon 97601 (-121.77264272646983 LONG, 42.2331334508587 LAT)
137. 1801 East Lowell Street, Klamath County, Oregon 97601 (-121.7800121707284 LONG, 42.2416465897189 LAT)
138. 218 North 7th Street, Klamath County, Oregon 97601 (-121.78288184564794 LONG, 42.22597044493903 LAT)
139. 2506 Orchard Avenue, Klamath County, Oregon 97601 (-121.75834770465862 LONG, 42.22399562959038 LAT)
140. 702 North 6th Street, Klamath County, Oregon 97601 (-121.78790416044403 LONG, 42.22791479295112 LAT)
141. 1964 Idaho Street, Klamath County, Oregon 97601 (-121.78675537063 LONG, 42.23828699927649 LAT)
142. 413 East Lowell Street, Klamath County, Oregon 97601 (-121.79233896131055 LONG, 42.24062825658277 LAT)
143. 518 Bella Vista Loop, Klamath County, Oregon 97601 (-121.76308553550999 LONG, 42.234190563269905 LAT)
144. 715 Pine Street, Klamath County, Oregon 97601 (-121.78261734796142 LONG, 42.226181917455854 LAT)
145. 2581 Applegate Avenue, Klamath County, Oregon 97601 (-121.75762356003906 LONG, 42.22041314597107 LAT)
146. 274 Grant Street, Klamath County, Oregon 97601 (-121.79019571184294 LONG, 42.225532056502445 LAT)
147. 1800 Idaho Street, Klamath County, Oregon 97601 (-121.78673905780545 LONG, 42.23733820320255 LAT)
148. 195 East Lowell Street, Klamath County, Oregon 97601 (-121.79470997601864 LONG, 42.2406195723635 LAT)
149. 2485 Bella Vista Loop, Klamath County, Oregon 97601 (-121.76329578891414 LONG, 42.234612730937855 LAT)
150. 786 Pine Street, Klamath County, Oregon 97601 (-121.78203539601476 LONG, 42.22643368297059 LAT)
151. 1149 Washburn Way, Klamath County, Oregon 97603 (-121.75739594123743 LONG, 42.21901678773438 LAT)
152. 708 North 3rd Street, Klamath County, Oregon 97601 (-121.79018212691832 LONG, 42.225867450738214 LAT)
153. 2899 Dahlia Street, Klamath County, Oregon 97601 (-121.79021659397061 LONG, 42.2503004955489 LAT)
154. 1159 Hanks Street, Klamath County, Oregon 97601 (-121.81285334802743 LONG, 42.243185137175566 LAT)
155. 2100 Ohio Avenue, Klamath County, Oregon 97601 (-121.78928682553973 LONG, 42.23990173269091 LAT)
156. 1770 Wade Circle, Klamath County, Oregon 97601 (-121.77961554846817 LONG, 42.24904585216268 LAT)
157. 707 High Street, Klamath County, Oregon 97601 (-121.78337256435361 LONG, 42.22665857009962 LAT)
158. 2051 Eberlein Avenue, Klamath County, Oregon 97601 (-121.76594184752526 LONG, 42.21768767959355 LAT)
159. 2668 Uhrmann Road, Klamath County, Oregon 97601 (-121.78667128609045 LONG, 42.25182417250911 LAT)
160. 1606 West Ridge Drive, Klamath County, Oregon 97601 (-121.82299868242009 LONG, 42.21331099308201 LAT)
161. 99 Nevada Street, Klamath County, Oregon 97601 (-121.79879444946779 LONG, 42.23950166681423 LAT)
162. 5599 Shalynn Drive, Klamath County, Oregon 97603 (-121.71983539670839 LONG, 42.22071919757305 LAT)
163. 631 Pine Street, Klamath County, Oregon 97601 (-121.78319022100517 LONG, 42.225490696337694 LAT)
164. 2090 Wantland Avenue, Klamath County, Oregon 97601 (-121.76540147257627 LONG, 42.21843180054988 LAT)
165. 258 Old Fort Road, Klamath County, Oregon 97601 (-121.76469145084779 LONG, 42.230623668826674 LAT)
166. 2671 Uhrmann Road, Klamath County, Oregon 97601 (-121.78642243991504 LONG, 42.25188132318041 LAT)
167. 5138 Hickory Lane, Klamath County, Oregon 97601 (-121.82255828596836 LONG, 42.21444337730822 LAT)
168. 2104 Thrall Street, Klamath County, Oregon 97601 (-121.79881829155282 LONG, 42.239654421605195 LAT)
169. 100 South 7th Street, Klamath County, Oregon 97601 (-121.78174687881118 LONG, 42.22538350537044 LAT)
170. 1191 Martin Street, Klamath County, Oregon 97601 (-121.76334535452848 LONG, 42.21867972505577 LAT)
171. 2649 Uhrmann Road, Klamath County, Oregon 97601 (-121.78709349675461 LONG, 42.25122213600615 LAT)
172. 5200 Lyptus Lane, Klamath County, Oregon 97601 (-121.82448918924636 LONG, 42.215286148116434 LAT)
173. 677 South 7th Street, Klamath County, Oregon 97601 (-121.77685467921597 LONG, 42.22257981123752 LAT)
174. 1159 Division Street, Klamath County, Oregon 97601 (-121.76165088189296 LONG, 42.218909885586825 LAT)
175. 1598 Washburn Way, Klamath County, Oregon 97603 (-121.7571625469415 LONG, 42.21511317264557 LAT)
176. 1020 Vine Maple Drive, Klamath County, Oregon 97601 (-121.82959128580237 LONG, 42.22346214527008 LAT)
177. 1466 Pleasant Avenue, Klamath County, Oregon 97601 (-121.78951169169841 LONG, 42.23353674863181 LAT)
178. 5664 Northhills Drive, Klamath County, Oregon 97603 (-121.71755137583813 LONG, 42.22407995847131 LAT)
179. 677 South 7th Street, Klamath County, Oregon 97601 (-121.77815181606117 LONG, 42.22320069913459 LAT)
180. 1548 Mitchell Street, Klamath County, Oregon 97601 (-121.76041868642392 LONG, 42.21548514418023 LAT)
181. 550 Upham Street, Klamath County, Oregon 97601 (-121.79109053748208 LONG, 42.231933207736475 LAT)
182. 2562 Daggett Avenue, Klamath County, Oregon 97601 (-121.78647943228405 LONG, 42.250576341587816 LAT)
183. 1070 Paper Birch Way, Klamath County, Oregon 97601 (-121.83162486377753 LONG, 42.22237493535784 LAT)
184. 712 Donald Street, Klamath County, Oregon 97601 (-121.78923424523818 LONG, 42.23292867624611 LAT)
185. 800 Westview Drive, Klamath County, Oregon 97603 (-121.71645735908993 LONG, 42.224196517744836 LAT)
186. 599 South 6th Street, Klamath County, Oregon 97601 (-121.77840502565164 LONG, 42.222325720812414 LAT)
187. 2215 Radcliffe Avenue, Klamath County, Oregon 97601 (-121.76299246658898 LONG, 42.21588412830062 LAT)
188. 2865 Daggett Avenue, Klamath County, Oregon 97601 (-121.78226429884464 LONG, 42.25377530470416 LAT)
189. 2448 Montelius Street, Klamath County, Oregon 97601 (-121.79647200416507 LONG, 42.24371686671386 LAT)
190. 461 Washington Street, Klamath County, Oregon 97601 (-121.78624228473313 LONG, 42.225301327353215 LAT)
191. 817 Westview Drive, Klamath County, Oregon 97603 (-121.71617517187 LONG, 42.22409018993918 LAT)
192. 601 Willow Avenue, Klamath County, Oregon 97601 (-121.77868711186215 LONG, 42.22203240380548 LAT)
193. 1000 East Main Street, Klamath County, Oregon 97601 (-121.76517052684271 LONG, 42.2201931 LAT)
194. 2098 Erie Street, Klamath County, Oregon 97601 (-121.76828030866497 LONG, 42.232243807890065 LAT)
195. 327 Upham Street, Klamath County, Oregon 97601 (-121.79317024880257 LONG, 42.23139630310715 LAT)
196. 939 Loma Linda Drive, Klamath County, Oregon 97601 (-121.76712479541658 LONG, 42.235669864358876 LAT)
197. 898 California Avenue, Klamath County, Oregon 97601 (-121.79270876466946 LONG, 42.227326070379675 LAT)
198. 5690 Northhills Drive, Klamath County, Oregon 97603 (-121.71649651692375 LONG, 42.223326088528495 LAT)
199. 603 South 5th Street, Klamath County, Oregon 97601 (-121.77888678253883 LONG, 42.22149395454015 LAT)
200. 2102 Applegate Avenue, Klamath County, Oregon 97601 (-121.76492825857316 LONG, 42.22019732189794 LAT)
201. 1849 Euclid Avenue, Klamath County, Oregon 97601 (-121.77770879788274 LONG, 42.24455513622189 LAT)
202. 1395 California Avenue, Klamath County, Oregon 97601 (-121.79403058202223 LONG, 42.231998473416816 LAT)
203. 2558 Clover Street, Klamath County, Oregon 97601 (-121.79019876687802 LONG, 42.25218696524807 LAT)
204. 799 Hill Street, Klamath County, Oregon 97601 (-121.80799469718521 LONG, 42.24042520309012 LAT)
205. 896 California Avenue, Klamath County, Oregon 97601 (-121.79279786818218 LONG, 42.22725183375381 LAT)
206. 6100 Church Hill Drive, Klamath County, Oregon 97603 (-121.7154987253968 LONG, 42.225012127579355 LAT)
207. 599 Elm Avenue, Klamath County, Oregon 97601 (-121.77751916123954 LONG, 42.22188537822692 LAT)
208. 1145 Martin Street, Klamath County, Oregon 97601 (-121.76357045557494 LONG, 42.21897582253332 LAT)
209. 1848 Birch Street, Klamath County, Oregon 97601 (-121.77941745029635 LONG, 42.24448582128309 LAT)
210. 2542 North Eldorado Avenue, Klamath County, Oregon 97601 (-121.7878688606968 LONG, 42.247374534137776 LAT)
211. 1398 Carlyle Street, Klamath County, Oregon 97601 (-121.78310457386915 LONG, 42.235924846726114 LAT)
212. 1092 California Avenue, Klamath County, Oregon 97601 (-121.7925416770743 LONG, 42.229160672993615 LAT)
213. 6100 Church Hill Drive, Klamath County, Oregon 97603 (-121.71548195129358 LONG, 42.22527053579886 LAT)
214. 735 Commercial Street, Klamath County, Oregon 97601 (-121.77592113101163 LONG, 42.22094100794218 LAT)
215. 2212 Reclamation Avenue, Klamath County, Oregon 97601 (-121.76310330355027 LONG, 42.21933367887097 LAT)
216. 1419 California Avenue, Klamath County, Oregon 97601 (-121.79418155999099 LONG, 42.23240665266398 LAT)
217. 1102 Fulton Street, Klamath County, Oregon 97601 (-121.784962318714 LONG, 42.23394953298491 LAT)
218. 279 Doty Street, Klamath County, Oregon 97601 (-121.79275842132655 LONG, 42.22932319954841 LAT)
219. 599 Hunter Court, Klamath County, Oregon 97603 (-121.72277322262812 LONG, 42.22629584125134 LAT)
220. 400 South 5th Street, Klamath County, Oregon 97601 (-121.78069099026881 LONG, 42.222470725284076 LAT)
221. 1051 Martin Street, Klamath County, Oregon 97601 (-121.76326477459656 LONG, 42.21982894058565 LAT)
222. 2053 Auburn Street, Klamath County, Oregon 97601 (-121.76866373145295 LONG, 42.23319651475345 LAT)
223. 1085 California Avenue, Klamath County, Oregon 97601 (-121.79240558244126 LONG, 42.22906484241981 LAT)
224. 2244 North Eldorado Avenue, Klamath County, Oregon 97601 (-121.78528446975562 LONG, 42.247381865946856 LAT)
225. 1430 Worden Avenue, Klamath County, Oregon 97601 (-121.78513758604561 LONG, 42.233306750720814 LAT)
226. 5547 Benchwood Avenue, Klamath County, Oregon 97603 (-121.71879006306203 LONG, 42.228960806815216 LAT)
227. 407 Walnut Avenue, Klamath County, Oregon 97601 (-121.78228799310644 LONG, 42.22253555301112 LAT)
228. 1026 East Main Street, Klamath County, Oregon 97601 (-121.76515838091238 LONG, 42.2199773664313 LAT)
229. 685 West Oregon Avenue, Klamath County, Oregon 97601 (-121.80650716931177 LONG, 42.242797285650475 LAT)
230. 5834 Springcrest Way, Klamath County, Oregon 97603 (-121.71750966763894 LONG, 42.22173436576948 LAT)
231. 2237 North Eldorado Avenue, Klamath County, Oregon 97601 (-121.7875293529079 LONG, 42.247658770517454 LAT)
232. 1450 Sargent Avenue, Klamath County, Oregon 97601 (-121.78624317153451 LONG, 42.23345099590469 LAT)
233. 740 Conger Avenue, Klamath County, Oregon 97601 (-121.79450754774962 LONG, 42.223972221561574 LAT)
234. 5469 Benchwood Avenue, Klamath County, Oregon 97603 (-121.72078359152862 LONG, 42.22896606044062 LAT)
235. 1011 Division Street, Klamath County, Oregon 97601 (-121.76164542728284 LONG, 42.22011290567406 LAT)
236. 597 Mount Pitt Street, Klamath County, Oregon 97601 (-121.80521862239823 LONG, 42.24383551326449 LAT)
237. 824 Rosemont Court, Klamath County, Oregon 97603 (-121.71657130135382 LONG, 42.22242695059339 LAT)
238. 2167 Sloan Street, Klamath County, Oregon 97601 (-121.78460997528806 LONG, 42.2473552922403 LAT)
239. 900 Fulton Street, Klamath County, Oregon 97601 (-121.78728301283651 LONG, 42.233936243858295 LAT)
240. 2201 Garden Avenue, Klamath County, Oregon 97601 (-121.76345049851291 LONG, 42.22291339021385 LAT)
241. 5503 Benchwood Avenue, Klamath County, Oregon 97603 (-121.71969346692242 LONG, 42.228963175036334 LAT)
242. 316 South 6th Street, Klamath County, Oregon 97601 (-121.78079779779989 LONG, 42.22355815324245 LAT)
243. 2076 Reclamation Avenue, Klamath County, Oregon 97601 (-121.76556115482992 LONG, 42.21896256566538 LAT)
244. 2652 Berkley Street, Klamath County, Oregon 97601 (-121.805453566373 LONG, 42.24540425970688 LAT)
245. 2570 Pershing Way, Klamath County, Oregon 97601 (-121.75765324002131 LONG, 42.21253189688605 LAT)
246. 905 Fulton Street, Klamath County, Oregon 97601 (-121.78714405642246 LONG, 42.23393789569951 LAT)
247. 3185 Foothills Boulevard, Klamath County, Oregon 97601 (-121.74984350248234 LONG, 42.22429974721628 LAT)
248. 212 Skyridge Drive, Klamath County, Oregon 97603 (-121.71832276099909 LONG, 42.23029919654164 LAT)
249. 699 Klamath Avenue, Klamath County, Oregon 97601 (-121.78105110830637 LONG, 42.22480772353485 LAT)
250. 998 East Main Street, Klamath County, Oregon 97601 (-121.76517197301902 LONG, 42.22033769600347 LAT)
251. 2521 South 6th Street, Klamath County, Oregon 97603 (-121.75832924411887 LONG, 42.21222026388725 LAT)
